Group,0-5 yrs,6-10 yrs,11-15 yrs,16-20 yrs,21-25 yrs,26-30 yrs,31-35 yrs,36+ yrs
ST MARYS,"$54,302","$67,763","$69,931","$70,864","$76,288","$84,796","$79,276","$92,356"
National,"$59,679","$69,735","$72,868","$75,020","$80,206","$81,598","$87,369","$92,335"
Regional,"$63,918","$70,156","$73,061","$76,493","$80,735","$83,770","$95,009","$99,417"
State,"$54,900","$60,077","$65,472","$71,341","$76,802","$83,770","$88,338","$95,059"
Local,"$61,530","$72,696","$79,456","$86,476","$92,560","$95,035","$101,666","$103,719"
